辛弃疾,宋代,西江月·夜行黄沙道中,"
明月别枝惊鹊，清风半夜鸣蝉。稻花香里说丰年，听取蛙声一片。 七八个星天外，两三点雨山前。旧时茅店社林边，路转溪桥忽见。(溪桥 一作：溪头)
",夏天
杨万里,宋代,小池,"
泉眼无声惜细流，树阴照水爱晴柔。小荷才露尖尖角，早有蜻蜓立上头。
",夏天
杨万里,宋代,晓出净慈寺送林子方,"
毕竟西湖六月中，风光不与四时同。接天莲叶无穷碧，映日荷花别样红。
",夏天
白居易,唐代,观刈麦,"
田家少闲月，五月人倍忙。夜来南风起，小麦覆陇黄。妇姑荷箪食，童稚携壶浆，相随饷田去，丁壮在南冈。足蒸暑土气，背灼炎天光，力尽不知热，但惜夏日长。复有贫妇人，抱子在其旁，右手秉遗穗，左臂悬敝筐。听其相顾言，闻者为悲伤。家田输税尽，拾此充饥肠。今我何功德？曾不事农桑。吏禄三百石，岁晏有余粮，念此私自愧，尽日不能忘。
",夏天
赵师秀,宋代,约客,"
黄梅时节家家雨，青草池塘处处蛙。有约不来过夜半，闲敲棋子落灯花。
",夏天
李白,唐代,夏日山中,"
懒摇白羽扇，裸袒青林中。脱巾挂石壁，露顶洒松风。
",夏天
白朴,元代,天净沙·夏,"
云收雨过波添，楼高水冷瓜甜，绿树阴垂画檐。纱厨藤簟，玉人罗扇轻缣。
",夏天
高骈,唐代,山亭夏日,"
绿树阴浓夏日长，楼台倒影入池塘。水晶帘动微风起，满架蔷薇一院香。(水晶帘 一作 水精帘）
",夏天
范成大,宋代,四时田园杂兴·其三十一,"
昼出耘田夜绩麻，村庄儿女各当家。童孙未解供耕织，也傍桑阴学种瓜。
",夏天
杨万里,宋代,闲居初夏午睡起·其一,"
梅子留酸软齿牙，芭蕉分绿与窗纱。日长睡起无情思，闲看儿童捉柳花。
",夏天
李商隐,唐代,晚晴,"
深居俯夹城，春去夏犹清。天意怜幽草，人间重晚晴。 并添高阁迥，微注小窗明。越鸟巢干后，归飞体更轻。
",夏天
孟浩然,唐代,夏日南亭怀辛大,"
山光忽西落，池月渐东上。散发乘夕凉，开轩卧闲敞。荷风送香气，竹露滴清响。欲取鸣琴弹，恨无知音赏。感此怀故人，中宵劳梦想。(中 一作：终)
",夏天
杨万里,宋代,夏夜追凉,"
夜热依然午热同，开门小立月明中。竹深树密虫鸣处，时有微凉不是风。
",夏天
杜甫,唐代,江村,"
清江一曲抱村流，长夏江村事事幽。自去自来堂上燕，相亲相近水中鸥。(堂上 一作：梁上)老妻画纸为棋局，稚子敲针作钓钩。但有故人供禄米，微躯此外更何求？
",夏天
